Age,Attrition,DistanceFromHome,EnvironmentSatisfaction,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,6,2,2,Research Scientist,4,5329,Yes,3,13,11,1,9
34,No,1,1,2,Manufacturing Director,2,4325,No,3,5,2,1,3
56,No,7,4,3,Manufacturing Director,4,7260,No,2,6,4,0,2
23,No,2,3,1,Sales Representative,1,2322,No,3,0,0,0,0
51,No,9,4,1,Laboratory Technician,4,2075,No,3,4,2,0,3
30,No,2,3,2,Healthcare Representative,4,4152,No,3,11,10,10,8
46,Yes,9,3,3,Sales Executive,4,9619,No,3,9,8,4,7
40,No,1,3,4,Healthcare Representative,2,13503,No,2,22,3,11,11
51,No,21,3,2,Sales Executive,4,5441,Yes,1,10,7,1,0
30,No,4,3,2,Sales Executive,2,5209,Yes,2,11,8,2,7
46,No,1,3,3,Healthcare Representative,1,10673,Yes,2,10,9,9,5
32,No,6,2,2,Sales Executive,3,5010,No,3,11,8,5,7
54,No,2,1,3,Research Director,3,13549,No,1,4,3,0,3
24,No,3,1,2,Sales Executive,3,4999,No,2,3,2,0,2
28,No,4,2,2,Sales Executive,3,4221,No,4,5,4,0,4
58,No,10,4,4,Sales Executive,3,13872,No,2,37,10,1,8
44,No,23,2,2,Laboratory Technician,2,2042,No,4,3,2,1,2
37,Yes,6,3,1,Human Resources,1,2073,Yes,3,3,2,0,2
32,No,1,4,1,Research Scientist,1,2956,No,3,1,0,0,0
20,Yes,6,4,1,Laboratory Technician,4,2926,Yes,3,1,0,1,0
34,No,6,1,2,Research Scientist,3,4809,No,3,16,13,2,10
37,No,2,3,2,Healthcare Representative,4,5163,No,4,1,0,0,0
59,No,2,3,5,Manager,4,18844,No,3,3,2,2,2
50,No,1,1,5,Research Director,2,18172,Yes,2,8,3,0,7
25,Yes,5,3,2,Sales Executive,3,5744,Yes,3,6,4,0,3
25,No,7,4,1,Research Scientist,4,2889,No,3,2,2,2,1
22,No,15,2,1,Laboratory Technician,4,2871,No,3,0,0,0,0
51,No,1,1,3,Healthcare Representative,1,7484,No,2,13,12,12,8
34,Yes,7,1,2,Laboratory Technician,3,6074,Yes,3,9,7,0,6
54,No,26,4,4,Manager,4,17328,Yes,3,5,3,4,4
24,No,18,2,1,Laboratory Technician,3,2774,No,3,5,3,1,2
34,No,6,3,2,Research Scientist,2,4505,No,3,1,0,0,0
37,No,3,3,3,Sales Executive,4,7428,No,3,5,3,1,3
34,No,5,3,3,Manager,1,11631,No,3,11,10,5,8
36,No,11,2,3,Sales Executive,4,9738,No,3,9,7,2,8
36,No,3,1,1,Laboratory Technician,4,2835,No,3,1,0,0,0
43,No,26,3,4,Manager,4,16959,Yes,4,25,12,4,12
30,No,23,1,1,Research Scientist,3,2613,No,2,10,7,0,9
33,No,22,3,2,Sales Executive,2,6146,No,4,7,7,0,7
56,Yes,14,2,1,Research Scientist,2,4963,Yes,3,5,4,4,3
51,No,6,1,5,Research Director,3,19537,No,3,20,18,15,15
31,Yes,6,2,2,Sales Executive,3,6172,Yes,2,7,7,7,7
26,No,6,3,1,Research Scientist,2,2368,No,2,5,4,4,3
58,Yes,23,4,3,Healthcare Representative,4,10312,No,2,40,10,15,6
19,Yes,22,4,1,Sales Representative,3,1675,Yes,2,0,0,0,0
22,No,2,3,1,Laboratory Technician,4,2523,No,3,2,1,2,1
49,No,20,3,2,Manufacturing Director,1,6567,No,2,15,11,5,11
43,No,28,2,1,Research Scientist,3,4739,No,3,3,2,1,2
50,No,12,3,3,Sales Executive,4,9208,No,3,2,2,2,1
31,Yes,20,2,2,Sales Executive,3,4559,Yes,3,2,2,2,2
41,No,9,3,3,Sales Executive,3,8189,Yes,3,9,7,0,7
26,No,25,3,1,Human Resources,3,2942,No,3,8,7,5,7
36,No,6,2,2,Manufacturing Director,2,4941,No,3,3,2,0,1
51,Yes,8,1,3,Manufacturing Director,4,10650,No,3,4,2,0,3
39,No,4,4,2,Sales Executive,3,5902,No,4,15,11,5,9
25,No,28,1,2,Sales Executive,3,8639,No,3,2,2,2,2
30,No,9,3,2,Human Resources,4,6347,Yes,1,11,9,4,7
32,Yes,9,1,1,Laboratory Technician,1,4200,No,4,5,4,0,4
45,No,29,3,1,Research Scientist,4,3452,No,2,6,5,0,3
38,No,3,4,2,Research Scientist,3,4317,Yes,3,3,2,2,2
30,No,18,1,1,Research Scientist,3,2632,No,2,5,4,0,4
32,No,9,4,2,Sales Executive,4,4668,No,4,8,7,0,7
30,No,5,4,1,Research Scientist,1,3204,No,3,3,2,2,2
30,No,2,2,1,Laboratory Technician,4,2720,No,3,5,3,1,2
41,No,10,4,4,Manager,1,17181,No,2,7,6,7,7
41,No,9,3,1,Laboratory Technician,1,2238,No,3,5,0,1,4
19,No,3,2,1,Laboratory Technician,2,1483,No,3,1,0,0,0
40,No,26,2,2,Research Scientist,2,5605,No,3,20,7,2,13
35,No,1,3,3,Sales Executive,2,7295,No,3,10,8,0,6
53,No,6,2,2,Sales Representative,3,2306,Yes,1,7,7,4,5
45,No,9,2,2,Laboratory Technician,2,2348,No,1,17,9,0,15
32,No,8,2,3,Sales Executive,4,8998,No,3,9,8,3,7
29,No,1,4,2,Manufacturing Director,3,4319,No,3,10,7,0,9
51,No,7,2,2,Manufacturing Director,3,6132,No,3,1,0,0,0
58,No,9,2,1,Research Scientist,2,3346,Yes,2,1,0,0,0
40,No,4,3,3,Sales Executive,4,10855,No,2,12,11,2,11
34,No,2,3,1,Sales Representative,3,2231,No,3,4,3,1,2
22,No,19,3,1,Research Scientist,4,2323,No,3,2,2,2,2
27,No,9,4,1,Research Scientist,2,2024,No,1,2,2,2,2
28,No,21,3,1,Research Scientist,4,2713,No,1,5,2,0,2
57,No,24,3,3,Healthcare Representative,4,9439,Yes,1,5,3,1,4
27,No,3,3,1,Research Scientist,3,2566,Yes,2,1,1,0,1
50,No,11,3,5,Manager,2,19926,No,3,5,4,4,4
41,No,14,1,1,Research Scientist,3,2451,No,3,9,8,1,8
30,No,5,2,3,Sales Executive,4,9419,No,3,10,9,7,4
38,No,1,1,2,Sales Executive,4,8686,No,4,8,3,0,7
32,No,6,3,1,Research Scientist,3,3038,No,3,5,4,1,4
27,No,17,3,1,Research Scientist,2,3058,Yes,2,5,2,1,1
19,Yes,1,3,1,Sales Representative,1,2325,No,4,0,0,0,0
36,No,3,4,1,Laboratory Technician,2,2088,No,2,8,7,7,2
30,No,9,3,2,Laboratory Technician,1,3072,No,3,12,9,6,10
45,No,4,3,2,Sales Executive,1,5006,Yes,4,5,4,0,3
56,No,8,3,1,Research Scientist,1,4257,Yes,3,2,2,2,2
33,No,2,3,1,Research Scientist,4,2500,No,4,3,1,0,2
19,Yes,2,2,1,Laboratory Technician,4,1102,No,2,1,0,1,0
46,No,1,2,3,Sales Executive,1,10453,No,3,24,13,15,7
38,No,9,3,1,Laboratory Technician,4,2288,No,3,2,2,2,1
31,No,12,3,1,Research Scientist,4,3929,Yes,3,4,2,0,2
34,No,27,4,1,Research Scientist,2,2311,No,3,3,2,1,2
41,Yes,20,2,1,Sales Representative,2,3140,Yes,2,4,3,0,2
50,No,1,3,1,Laboratory Technician,3,3690,No,2,3,2,0,2
53,No,13,4,2,Manufacturing Director,1,4450,No,3,4,2,1,3
33,No,14,4,1,Research Scientist,2,2756,No,3,8,7,1,6
40,No,4,4,5,Manager,3,19033,No,3,20,8,9,9
55,No,14,3,5,Research Director,2,18722,No,3,24,15,2,15
34,No,2,4,2,Manufacturing Director,3,9547,No,2,10,9,1,9
51,No,3,4,4,Healthcare Representative,2,13734,No,3,7,7,1,0
52,No,1,3,5,Manager,3,19999,No,3,33,18,11,9
27,No,9,4,1,Research Scientist,2,2279,No,2,7,7,0,3
35,Yes,23,2,2,Manufacturing Director,3,5916,Yes,3,1,0,0,1
43,No,7,4,1,Research Scientist,4,2089,No,4,5,4,2,2
45,No,2,1,4,Manager,4,16792,No,3,20,8,11,8
37,No,21,2,1,Research Scientist,1,3564,Yes,2,8,7,1,7
35,No,2,2,2,Laboratory Technician,2,4425,No,3,6,2,1,2
42,No,21,3,2,Manufacturing Director,3,5265,No,3,5,3,0,2
38,No,2,4,2,Manufacturing Director,3,6553,No,3,1,0,0,0
38,No,29,4,2,Manufacturing Director,4,6261,No,1,7,7,1,7
27,No,1,3,2,Manufacturing Director,1,4298,No,3,2,2,2,0
49,No,18,4,2,Manufacturing Director,4,6804,Yes,3,7,7,1,7
34,No,10,4,1,Research Scientist,3,3815,Yes,4,5,3,2,0
40,No,19,3,2,Laboratory Technician,4,2741,Yes,4,7,2,3,7
38,Yes,29,2,2,Healthcare Representative,1,6673,Yes,3,1,0,0,0
29,Yes,27,2,3,Sales Executive,4,7639,No,2,10,4,1,9
22,No,5,4,1,Research Scientist,2,2328,Yes,2,4,2,2,2
36,No,18,2,1,Laboratory Technician,4,2153,No,3,8,1,1,7
40,No,9,4,2,Healthcare Representative,4,4876,No,1,3,2,0,2
46,No,1,4,3,Healthcare Representative,1,9396,No,3,4,2,0,3
32,Yes,4,4,3,Sales Executive,4,10400,No,2,14,8,9,8
30,No,1,3,3,Manufacturing Director,3,8474,No,3,11,8,5,8
27,No,20,4,2,Sales Executive,3,9981,No,3,7,7,0,7
51,No,8,2,3,Research Director,2,12490,No,1,10,9,4,7
30,Yes,3,4,1,Research Scientist,1,2657,Yes,3,5,2,0,4
41,No,6,4,3,Manager,4,13591,Yes,3,1,0,0,0
30,Yes,26,3,2,Sales Executive,1,6696,No,2,6,3,0,1
29,Yes,1,3,1,Research Scientist,3,2058,No,2,6,2,1,5
45,No,6,4,3,Sales Executive,4,8865,No,3,19,7,12,8
54,No,3,4,2,Sales Executive,1,5940,No,3,6,2,0,5
36,No,5,4,2,Laboratory Technician,2,5914,No,4,13,11,3,7
33,No,4,3,1,Research Scientist,2,2622,No,3,3,2,1,1
37,No,11,2,3,Research Director,4,12185,Yes,3,10,8,0,7
38,No,3,1,3,Sales Executive,3,10609,No,2,16,10,5,13
31,No,1,3,2,Manufacturing Director,3,4345,No,3,5,4,1,4
59,No,3,3,1,Research Scientist,4,2177,No,3,1,0,0,0
37,No,4,1,1,Sales Representative,4,2793,No,3,9,8,5,8
29,No,1,2,3,Sales Executive,4,7918,No,3,11,10,4,1
35,No,1,3,3,Sales Executive,3,8789,No,4,10,7,0,8
29,Yes,18,3,1,Research Scientist,4,2389,Yes,2,4,3,0,1
52,No,2,3,1,Laboratory Technician,4,3212,No,2,2,2,2,2
42,No,4,3,5,Manager,4,19232,No,3,22,17,11,15
59,No,6,2,1,Human Resources,3,2267,No,2,2,2,2,2
50,No,1,4,5,Manager,4,19517,No,2,7,0,0,6
33,Yes,14,3,1,Laboratory Technician,4,2436,Yes,1,5,4,0,4
43,No,16,4,4,Manager,4,16064,Yes,3,17,13,1,9
33,Yes,2,1,1,Laboratory Technician,1,2707,No,4,9,7,1,7
52,No,2,1,5,Manager,3,19068,Yes,4,33,7,15,12
32,No,4,3,1,Sales Representative,2,3931,No,3,4,3,1,2
32,Yes,1,4,1,Laboratory Technician,3,3730,Yes,1,3,2,1,2
39,No,1,3,1,Laboratory Technician,3,2232,No,3,3,2,1,2
32,No,26,3,2,Sales Executive,4,4465,No,3,3,2,2,2
41,No,19,3,2,Research Scientist,1,3072,No,2,1,0,0,0
40,No,24,1,2,Research Scientist,4,3319,No,3,9,8,4,7
45,No,1,3,5,Manager,4,19202,No,3,24,0,1,7
31,No,3,2,3,Research Director,3,13675,No,3,2,2,2,2
33,No,5,3,1,Research Scientist,4,2911,No,2,2,2,0,2
34,No,2,4,2,Manufacturing Director,1,5957,No,3,11,9,5,9
37,No,1,3,1,Research Scientist,1,3920,No,2,3,1,0,2
45,No,7,1,2,Manufacturing Director,3,6434,No,3,3,2,0,2
37,Yes,10,1,3,Manufacturing Director,3,10048,No,3,1,0,0,0
39,No,2,3,3,Healthcare Representative,3,10938,No,3,19,6,11,8
29,No,15,3,1,Research Scientist,4,2340,No,3,6,5,1,5
42,No,17,4,2,Research Scientist,1,6545,Yes,3,3,2,0,2
29,No,20,4,2,Sales Executive,4,6931,No,3,3,2,0,2
25,No,1,1,2,Manufacturing Director,3,4898,No,3,4,2,1,2
42,No,2,4,1,Laboratory Technician,1,2593,Yes,3,9,6,7,8
40,No,2,1,5,Research Director,3,19436,No,3,21,7,3,9
51,No,1,3,1,Research Scientist,4,2723,No,2,1,0,0,0
31,Yes,29,3,1,Laboratory Technician,2,3479,No,4,5,4,1,4
32,No,7,2,1,Laboratory Technician,2,2794,No,1,5,1,0,3
38,No,2,4,2,Sales Executive,4,5249,No,3,8,7,7,5
32,No,2,4,2,Laboratory Technician,1,2176,No,3,6,2,0,4
46,No,2,3,4,Manager,2,16872,Yes,2,7,7,7,7
28,Yes,2,1,1,Laboratory Technician,3,3485,No,1,0,0,0,0
29,No,2,1,2,Sales Executive,2,6644,No,3,0,0,0,0
31,No,23,2,2,Healthcare Representative,4,5582,No,3,9,0,7,8
25,No,5,2,2,Healthcare Representative,1,4000,No,3,6,3,1,5
45,No,20,3,4,Healthcare Representative,4,13496,Yes,3,20,7,4,10
36,No,6,4,1,Laboratory Technician,4,3210,No,3,15,13,10,11
55,No,1,4,5,Manager,1,19045,Yes,3,36,10,4,13
47,Yes,29,1,3,Manager,2,11849,Yes,2,10,7,9,9
28,No,9,4,1,Research Scientist,4,2070,No,2,5,2,0,4
37,No,6,3,2,Sales Executive,4,6502,No,4,5,4,0,1
21,No,3,4,1,Research Scientist,3,3230,No,4,3,2,1,0
37,No,1,1,3,Research Director,4,13603,Yes,3,5,2,0,2
35,No,22,2,3,Manager,2,11996,No,2,7,7,6,2
38,No,7,1,2,Sales Executive,1,5605,Yes,3,8,0,7,7
26,No,1,3,2,Manufacturing Director,2,6397,No,1,6,5,1,4
50,No,4,1,5,Research Director,2,19144,No,2,10,4,1,6
53,No,3,3,4,Research Director,3,17584,Yes,2,5,3,1,3
42,No,1,2,2,Sales Executive,3,4907,No,3,20,16,11,6
29,No,2,2,2,Sales Executive,4,4554,No,2,10,7,0,9
55,No,20,2,2,Laboratory Technician,4,5415,Yes,3,10,7,0,8
26,No,11,1,2,Healthcare Representative,1,4741,Yes,3,5,3,3,3
37,No,1,4,1,Research Scientist,4,2115,No,3,17,12,5,7
44,Yes,24,4,1,Laboratory Technician,3,3161,Yes,1,1,0,0,0
38,No,23,4,2,Healthcare Representative,4,5745,No,3,2,2,1,2
26,Yes,16,1,1,Laboratory Technician,2,2373,Yes,3,3,2,0,2
28,No,8,4,1,Research Scientist,4,3310,No,3,5,3,0,2
49,No,10,3,5,Research Director,1,18665,Yes,3,3,2,1,2
36,No,3,3,2,Research Scientist,2,4485,No,3,8,0,7,7
31,No,5,4,1,Sales Representative,2,2789,No,2,2,2,2,2
26,Yes,4,4,2,Sales Executive,4,5828,Yes,3,8,7,7,4
37,No,9,2,1,Research Scientist,4,2326,Yes,2,4,2,1,2
42,No,26,3,4,Sales Executive,2,13525,No,4,20,4,4,8
18,Yes,3,3,1,Laboratory Technician,3,1420,No,3,0,0,0,0
35,No,16,3,3,Sales Executive,2,8020,No,2,11,9,6,9
36,No,18,3,1,Laboratory Technician,4,3688,No,3,1,0,0,0
51,No,2,4,2,Manufacturing Director,2,5482,No,3,4,1,1,2
41,No,2,4,4,Manager,2,16015,No,3,22,10,0,4
18,No,10,4,1,Sales Representative,3,1200,No,3,0,0,0,0
28,No,16,2,2,Healthcare Representative,1,5661,No,3,8,3,0,7
31,No,7,2,2,Sales Executive,4,6929,No,2,8,7,7,7
39,No,1,3,3,Healthcare Representative,4,9613,No,2,18,10,3,7
36,No,24,2,2,Laboratory Technician,2,5674,No,3,9,8,0,8
32,No,7,4,2,Sales Executive,3,5484,No,2,13,8,4,8
38,No,25,1,3,Research Director,2,12061,No,3,10,8,0,1
58,No,1,4,2,Healthcare Representative,3,5660,Yes,3,5,3,1,2
31,No,5,3,1,Research Scientist,4,4821,Yes,3,5,2,0,3
31,No,2,1,2,Human Resources,1,6410,No,3,2,2,1,0
45,No,7,1,3,Laboratory Technician,1,5210,No,3,24,9,9,11
31,No,2,3,1,Research Scientist,4,2695,Yes,1,2,2,2,2
33,No,5,4,3,Manager,2,11878,No,3,10,6,8,8
39,No,10,3,4,Manager,1,17068,Yes,3,21,9,11,10
43,No,10,3,1,Laboratory Technician,4,2455,No,3,8,7,1,7
49,No,1,3,4,Healthcare Representative,3,13964,Yes,3,7,1,0,7
52,Yes,8,3,2,Research Scientist,2,4941,No,2,8,2,7,7
27,No,5,3,1,Research Scientist,2,2478,Yes,2,4,3,1,2
32,No,8,3,2,Sales Executive,2,5228,Yes,3,13,12,11,9
27,No,2,4,2,Sales Executive,3,4478,Yes,3,5,4,0,4
31,No,7,4,2,Sales Executive,4,7547,No,3,7,7,1,7
32,No,2,1,2,Research Scientist,4,5055,No,2,7,7,0,7
28,Yes,2,1,1,Research Scientist,4,3464,Yes,2,3,2,2,2
30,No,28,4,2,Research Scientist,4,5775,No,3,10,8,1,9
31,No,7,3,3,Manufacturing Director,3,8943,No,3,10,9,8,9
39,No,7,3,5,Manager,4,19272,No,3,21,9,13,3
39,Yes,3,4,2,Sales Executive,3,5238,Yes,2,1,0,0,0
33,No,10,2,2,Sales Executive,4,4682,No,2,7,7,0,1
47,No,5,4,5,Research Director,3,18300,No,3,3,2,1,1
43,No,10,3,2,Laboratory Technician,3,5257,No,4,9,7,0,0
27,No,1,3,2,Sales Executive,2,6349,Yes,3,5,4,1,4
54,No,20,4,2,Research Scientist,3,4869,No,2,4,3,0,3
43,No,7,3,3,Healthcare Representative,1,9985,No,2,1,0,0,0
45,No,8,4,2,Research Scientist,4,3697,No,3,10,9,9,8
40,No,1,2,2,Sales Executive,4,7457,Yes,2,4,3,0,2
29,Yes,8,2,1,Laboratory Technician,1,2119,Yes,2,7,7,0,7
29,No,9,2,1,Laboratory Technician,4,3983,No,3,3,2,2,2
30,No,5,4,2,Sales Executive,3,6118,No,3,10,9,1,2
27,No,8,2,2,Sales Executive,2,6214,No,3,8,7,0,7
37,No,5,4,2,Manufacturing Director,4,6347,No,2,6,2,0,4
38,No,15,3,3,Research Director,4,11510,Yes,3,11,10,2,9
31,No,7,3,3,Manufacturing Director,4,7143,Yes,2,11,9,4,10
29,No,10,4,2,Sales Executive,2,8268,Yes,3,7,7,1,7
35,No,5,3,3,Manufacturing Director,2,8095,No,3,16,6,0,13
23,No,26,3,1,Research Scientist,4,2904,No,2,4,2,0,2
41,No,6,4,2,Manufacturing Director,2,6032,Yes,3,5,4,1,2
47,No,4,2,2,Sales Representative,3,2976,No,3,0,0,0,0
42,No,23,1,4,Research Director,4,15992,No,3,1,0,0,0
29,No,2,4,2,Sales Executive,3,4649,No,2,4,3,0,2
42,No,2,3,1,Human Resources,3,2696,Yes,3,3,2,1,0
32,No,2,3,1,Laboratory Technician,2,2370,No,3,8,0,0,7
48,No,29,1,3,Manager,3,12504,No,1,0,0,0,0
37,No,6,3,2,Research Scientist,1,5974,Yes,3,7,7,6,7
30,No,25,4,2,Sales Executive,3,4736,Yes,4,2,2,2,2
26,No,1,3,2,Sales Executive,3,5296,No,3,8,7,7,7
42,No,2,1,2,Healthcare Representative,4,6781,No,3,1,0,0,0
21,Yes,1,1,1,Sales Representative,2,2174,Yes,3,3,2,1,2
36,No,1,4,2,Sales Executive,4,6653,No,3,1,0,0,0
36,No,3,1,3,Sales Executive,4,9699,No,3,13,9,1,12
57,No,1,4,2,Healthcare Representative,3,6755,No,3,3,2,1,2
40,No,10,4,1,Laboratory Technician,3,2213,Yes,3,7,7,1,7
21,No,9,1,1,Sales Representative,4,2610,No,2,3,2,2,2
33,Yes,5,4,1,Sales Representative,3,2851,Yes,3,1,0,0,0
37,No,10,3,1,Laboratory Technician,1,3452,No,3,5,4,0,3
46,No,7,3,2,Manufacturing Director,3,5258,No,4,1,0,0,0
41,Yes,4,1,2,Sales Executive,2,9355,No,3,8,7,7,7
50,No,10,4,3,Healthcare Representative,4,10496,No,3,4,3,1,3
40,Yes,22,3,2,Sales Executive,3,6380,Yes,3,6,4,1,0
31,No,9,3,1,Research Scientist,2,2657,Yes,3,2,2,2,2
21,Yes,12,3,1,Sales Representative,2,2716,No,3,1,0,0,0
29,No,23,4,1,Research Scientist,4,2201,No,3,3,2,1,2
35,No,9,3,2,Healthcare Representative,2,6540,No,3,1,1,0,0
27,No,1,4,1,Laboratory Technician,2,3816,No,3,5,2,0,4
28,No,9,2,2,Sales Executive,4,5253,No,3,7,5,0,7
49,No,7,2,3,Healthcare Representative,3,10965,No,3,5,2,0,0
51,No,14,3,2,Sales Executive,4,4936,No,2,7,7,0,7
36,No,2,4,1,Research Scientist,3,2543,No,3,2,2,2,2
34,Yes,19,1,2,Sales Executive,4,5304,Yes,2,5,2,0,4
55,No,2,3,4,Manager,4,16659,Yes,3,5,4,1,2
24,No,10,4,2,Sales Executive,3,4260,Yes,4,5,2,0,3
30,No,2,3,1,Sales Representative,2,2476,No,3,1,0,0,0
26,Yes,3,3,1,Research Scientist,1,3102,No,3,6,4,0,4
22,No,11,1,1,Research Scientist,2,2244,No,3,2,1,1,2
36,No,2,2,3,Sales Executive,3,7596,No,3,10,9,9,0
30,Yes,4,3,1,Research Scientist,4,2285,Yes,3,1,0,0,0
37,No,14,4,1,Laboratory Technician,1,3034,No,2,18,7,12,17
40,No,2,4,2,Sales Executive,2,5715,No,3,5,4,1,3
42,No,1,2,1,Laboratory Technician,1,2576,No,3,5,2,1,2
37,No,10,3,2,Manufacturing Director,2,4197,Yes,2,1,0,0,1
